News	Meta	Intro	Article	Downloads	PDFs	text_file_names
Gewogen risico. Deel 1: Communiceren over recidive in zedenzaken	Nieuwsbericht | 22-2-2017 | 07:00	['Over het recidiverisico van zedendelinquenten wordt niet adequaat gecommuniceerd in het strafproces. Dit komt doordat er te weinig gedeelde kennis is, blijkt uit het rapport ‘Gewogen risico’ van de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen. Gedragsdeskundigen, reclasseringswerkers, officieren van justitie en rechters kennen bijvoorbeeld aan de term ‘gemiddeld risico’ een andere kans op recidive toe. Daardoor bestaat de kans dat zedendelinquenten onder- of overbehandeld worden.']	['In strafzaken doen een rapporteur pro Justitia (pJ) – een psycholoog of psychiater – en een reclasseringswerker onderzoek naar de persoonlijkheid, de levensinvulling en het risico op een nieuw delict van de dader, zodat ze de officier van justitie en de rechter kunnen adviseren over mogelijke behandeling van de delinquent. Op basis van dit advies kan de officier van justitie een bepaalde behandeling eisen. De rechter beslist vervolgens op basis van de adviezen en de eis of de delinquent wel of niet behandeld moet worden en wat de intensiteit van de behandeling moet zijn.', 'Passende behandeling\nNationaal Rapporteur Corinne Dettmeijer-Vermeulen: ‘Een zedendader waarvan het risico dat hij opnieuw de fout ingaat hoog is moet een intensieve behandeling krijgen, een dader met een laag risico heeft geen behandeling nodig of hoogstens een heel beperkte. Dat klinkt logisch, en het blijkt ook de beste benadering te zijn om nieuwe delicten te voorkomen. Daarvoor is het van belang dat de adviezen van de rapporteur pJ en de reclasseringswerker kloppen en dat ze goed worden begrepen. Dat is nu nog niet altijd het geval.’', 'Laag-gemiddeld-hoog risico\nDe vragenlijst van de Nationaal Rapporteur is door 221 gedragsdeskundigen, reclasseringswerkers, officieren van justitie en rechters ingevuld. Hieruit blijkt dat zowel de experts (gedragsdeskundigen en reclasseringswerkers) als de partij die zij adviseren (officieren van justitie en rechters) te weinig gedeelde kennis hebben over wat precies het risico is dat zij proberen te beperken. Zowel binnen als tussen de beroepsgroepen bestaan uiteenlopende interpretaties over welke kans op recidive precies bij een ‘hoog’, ‘laag’ of ‘gemiddeld’ recidiverisico hoort. Alle groepen overschatten ook het gemiddelde recidiverisico ten opzichte van bekende recidivecijfers. Dit kan betekenen dat wanneer een reclasseringswerker ‘gemiddeld recidiverisico’ opschrijft, de rechter daar een hoger risico onder verstaat dan de reclasseringswerker voor ogen heeft. En beiden verstaan er een hoger risico onder dan officiële recidivecijfers rechtvaardigen.', 'Onder- en overbehandeling\nWanneer een verkeerde inschatting van het risico leidt tot onderbehandeling kan dit tot gevolg hebben dat de dader een gevaar blijft voor de maatschappij. Ook overbehandeling is onwenselijk. Het wel behandelen van daders met een laag recidiverisico kan hun recidiverisico juist verhogen, doordat zij in aanraking komen met hoger risico daders. Bovendien wordt er in dat geval geld verspild.', 'Weinig gedeelde kennis\nDe betrokken beroepsgroepen moeten volgens de Nationaal Rapporteur hun kennis vergroten over algemene recidive, risiconiveaus en kansberekening bij zedenzaken. ‘Ook moeten ze die kennis met elkaar afstemmen en moeten ze afspraken maken over welke methoden gebruikt worden om risico te omschrijven.’', 'Over het rapport\nHet rapport ‘Gewogen risico’ bestaat uit twee delen. Deel 1 gaat over de communicatie over recidiverisico van zedendelinquenten. In deel 2 wordt ingegaan op de vraag of informatie over risico op de juiste manier wordt vastgesteld en of de rechter de juiste beslissing over behandeling neemt op basis van die informatie. Deel 2 verschijnt ook in de eerste helft van 2017.', 'Gemiddelde inschattingen van hoog risico door de verschillende instanties. Instanties overschatten recidiverisico op ieder risiconiveau.']	[]	[]	[]
Brief aan de voorzitter van de Tweede Kamer ter gelegenheid van het AO mensenhandel	Nieuwsbericht | 16-2-2017 | 10:32	['Ter gelegenheid van het Algemeen Overleg mensenhandel in de Tweede Kamercommissie Veiligheid en Justitie op 16 februari stuurt de Nationaal Rapporteur een brief aan de voorzitter van de Tweede Kamer. Hierin herhaalt ze de conclusies uit de Monitor mensenhandel, die in 2016 in twee delen verscheen. Ook deelt ze een prognose over het aantal in 2016 bij CoMensha gemelde mogelijke slachtoffers van mensenhandel. In de eerste helft van dat jaar is naar verwachting sprake van een halvering. Ook wijst ze op het stranden van de pilot voor multidisciplinaire vaststelling slachtofferschap mensenhandel en het Nationaal Verwijsmechanisme, het opheffen van het project 13 Oceans, gericht op criminele uitbuiting van kinderen, en vraagt ze aandacht voor de signalering van slachtoffers van mensenhandel in migratiestromen.']	['']	['Brief aan de voorzitter van de Tweede Kamer ter gelegenheid van het AO mensenhandel, 13 februari 2017\nPdf document | 62 kB\nBrief | 18-7-2017']	['10008%20100217%20brief%20Voorzitter%20Tweede%20Kamer%20inzake%20AO%20mensenhandel_tcm23-272691.pdf']	['10008%20100217%20brief%20Voorzitter%20Tweede%20Kamer%20inzake%20AO%20mensenhandel_tcm23-272691.txt']
Conferentie 'Mensenhandel, ondermijning en loverboyproblematiek'	Nieuwsbericht | 16-2-2017 | 09:48	"[""Tijdens de door het Landelijk Kenniscentrum LVB georganiseerde conferentie 'Mensenhandel, ondermijning en loverboyproblematiek', sprak de Nationaal Rapporteur over jongeren met een licht verstandelijke beperking (LVB) en hun kwetsbaarheid om slachtoffer te worden van mensenhandel. In haar toespraak lichtte zij drie stappen toe om deze groep jongeren zo goed mogelijk te beschermen tegen mensenhandel.""]"	['']	['Toespraak conferentie “Mensenhandel, ondermijning en loverboyproblematiek”\nPdf document | 142 kB\nToespraak | 28-2-2017']	['Toespraak%20conferentie%20Mensenhandel%2C%20ondermijning%20en%20loverboyproblematiek_tcm23-247143.pdf']	['Toespraak%20conferentie%20Mensenhandel%2C%20ondermijning%20en%20loverboyproblematiek_tcm23-247143.txt']
Prostitutie en mensenhandel	Nieuwsbericht | 19-12-2016 | 05:31	['Naar schatting wordt maar liefst de helft van de gemelde mogelijke slachtoffers van mensenhandel in de prostitutie, gesignaleerd in met name thuisprostitutie en escort. ‘Dat zijn sectoren die veel minder zichtbaar zijn voor de overheid dan bordelen en raamprostitutie’, stelt de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen. ‘Ook binnen die minder zichtbare prostitutiesectoren moet mensenhandel kunnen worden aangepakt.’ Dat staat in haar rapport over prostitutie en mensenhandel.']	['In Nederland is vrijwillige prostitutie door volwassenen gereguleerd. Nationaal Rapporteur Corinne Dettmeijer: ‘Niet iedere prostituee is een slachtoffer van mensenhandel, maar binnen de prostitutie komt zeker mensenhandel voor en dat moeten we bestrijden. De bescherming van kwetsbare mensen binnen de prostitutie en de versterking van de positie van hen die in de prostitutie werken, zijn daarbij twee kanten van dezelfde medaille.’', 'Zicht op mensenhandel\nHet is lastig een beeld te vormen van de totale omvang van mensenhandel in de prostitutie. Beschikbare cijfers vertellen wat in beeld is, maar zeggen niet wat de daadwerkelijke omvang van mensenhandel binnen de prostitutiebranche is. Uit de wél bekende cijfers blijkt dat het naar schatting bij de helft van de mogelijke slachtoffers van mensenhandel in de prostitutie gaat om uitbuiting in de minder zichtbare, vaak onvergunde sectoren, waarin afspraken bijvoorbeeld via internetadvertenties worden gemaakt en prostitutie vervolgens plaatsvindt in woningen.\nOp dit moment ligt de Wet regulering prostitutie en bestrijding misstanden seksbranche (Wrp) in de Eerste Kamer. Met de Wrp wil de minister van Veiligheid en Justitie zelfstandig werkende prostitué(e)s die vanuit huis of als escort werken, buiten de vergunningplicht laten. De minister heeft nog niet verduidelijkt hoe het voorkomen, signaleren en bestrijden van mensenhandel ten aanzien van deze groep vorm zal krijgen. De rapporteur heeft er bij de minister op aangedrongen hierover meer duidelijkheid te verschaffen. Dettmeijer: ‘In de wetenschap dat steeds meer vergunde bordelen en ramen sluiten en de sector zich makkelijker online begeeft, heb ik de minister aanbevolen er voor te zorgen dat gemeenten en politie ook binnen deze minder zichtbare prostitutiesectoren over effectieve mogelijkheden blijven beschikken om mensenhandel te voorkomen, te signaleren en te bestrijden, als de Wrp in werking treedt.’', 'Versterking van de positie van sekswerkers\nVolgens de rapporteur is versterking van de positie van sekswerkers belangrijk voor het minder kwetsbaar maken van de branche voor mensenhandel. Dettmeijer: ‘Wetgeving alleen voldoet daarvoor niet. Er moet gezorgd worden dat mensen die kiezen voor het beroep van prostituee dit werk veilig kunnen doen, en er moet blijvend aandacht zijn voor de versterking van de sociale positie van sekswerkers. Bijvoorbeeld door voorlichting over werken in prostitutie, het kunnen openen van een zakelijke bankrekening en de mogelijkheid dat sekswerkers zelf een bedrijf starten.’', 'Een ideaal prostitutiebeleid?\nMaar wat is het beste prostitutiebeleid om mensenhandel te voorkomen? In debatten over prostitutiebeleid wordt regelmatig verwezen naar cijfers over mensenhandel, om argumenten voor of tegen een bepaald beleidsmodel kracht bij te zetten. In haar rapport legt de Nationaal Rapporteur uit dat we niet exact weten hoeveel mensen worden uitgebuit, dat tot nu toe betrouwbare schattingen ontbreken, en dat het nog niet mogelijk is een relatie te leggen tussen bepaald beleid en de omvang van mensenhandel.']	['Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen (2016). Prostitutie en mensenhandel\nRapport | Pdf document | 2072 kB | 6-2-2017']	['Prostitutie%20%26%20mensenhandel_Nationaal%20Rapporteur_interactief_tcm23-233408.pdf']	['Prostitutie%20%26%20mensenhandel_Nationaal%20Rapporteur_interactief_tcm23-233408.txt']
Brief Waarborgen toegang tot GGZ minderjarige slachtoffers van seksueel geweld	Nieuwsbericht | 16-12-2016 | 12:13	['De Nationaal Rapporteur heeft de minister van Volksgezondheid, Welzijn en Sport verzocht om de toegang tot de GGZ te waarborgen voor slachtoffers van seksueel geweld. De rapporteur benadrukt het belang van adequate preventieve behandeling om de ontwikkeling van één of meerdere stoornissen als gevolg van het meemaken van seksueel geweld te voorkomen.']	['']	['Brief Nationaal Rapporteur Waarborgen toegang tot GGZ voor minderjarige slachtoffers van seksueel geweld, 16 december 2014\nPdf document | 114 kB\nWebpagina | 16-12-2014', 'Brief Nationaal Rapporteur Waarborgen toegang tot GGZ voor minderjarige slachtoffers van seksueel geweld, 16 december 2014\nPdf document | 114 kB\nWebpagina | 16-12-2014']	['9585-161214-min-vws-minderjarige-slachtoffers-seksueel-geweld-onthouden-van-adequate-preventieve-hulpverlening_tcm23-272683.pdf', '9585-161214-min-vws-minderjarige-slachtoffers-seksueel-geweld-onthouden-van-adequate-preventieve-hulpverlening_tcm23-272683.pdf']	['9585-161214-min-vws-minderjarige-slachtoffers-seksueel-geweld-onthouden-van-adequate-preventieve-hulpverlening_tcm23-272683.txt', '9585-161214-min-vws-minderjarige-slachtoffers-seksueel-geweld-onthouden-van-adequate-preventieve-hulpverlening_tcm23-272683.txt']
Brief aan de staatssecretaris van Volksgezondheid, Welzijn en Sport voor de consultatie van de wijziging van het Besluit verplichte meldcode huiselijk geweld en kindermishandeling	Nieuwsbericht | 24-11-2016 | 10:51	['In haar consultatiereactie ondersteunt de Nationaal Rapporteur de voorgestane wijziging van het Besluit verplichte meldcode huiselijk geweld en kindermishandeling en het Besluit kwaliteit kinderopvang en peuterspeelzalen op hoofdlijnen. Daarbij adviseert zij wel om de elementen van de door beroepsgroepen vast te stellen afwegingskaders nader te omschrijven, om te streven naar een uniforme basis van deze afwegingskaders, om professionals via de meldcode expliciet te stimuleren bij twijfel Veilig Thuis te raadplegen, om de rol van landelijke organisaties onder verantwoordelijkheid van verschillende ministeries in de aanpak van huiselijk geweld en kindermishandeling nader te expliciteren, en om het individueel spreken met het kind in de meldcode te verankeren.']	['']	['Brief Consultatie wijziging Besluit verplichte meldcode huiselijk geweld en kindermishandeling, 24 november 2016\nPdf document | 116 kB\nBrief | 14-12-2016']	['20161124%20Consultatiereactie%20Nationaal%20Rapporteur%20wijziging%20Besluit%20verplichte%20meldcode_tcm23-272692.pdf']	['20161124%20Consultatiereactie%20Nationaal%20Rapporteur%20wijziging%20Besluit%20verplichte%20meldcode_tcm23-272692.txt']
Statement van de Nationaal Rapporteur ter gelegenheid van de Week tegen Kindermishandeling	Nieuwsbericht | 14-11-2016 | 09:00	['Resultaten van onze aanpak van seksueel geweld tegen kinderen moeten meetbaar zijn, betoogt Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen in haar jaarlijkse statement aan het begin van de Week tegen Kindermishandeling. De week eindigt op 20 november, de internationale dag van het kind.']	['Vandaag start de Week tegen Kindermishandeling. Het doel: de samenleving meer bewust te maken van kindermishandeling. Als Nationaal Rapporteur vraag ik vooral uw aandacht voor seksueel geweld tegen kinderen. Maar ik wil er niet alleen aandacht voor. Ik wil weten dat we als samenleving kinderen die hier slachtoffer van worden ook echt helpen. Daarom vind ik dat de resultaten van onze aanpak meetbaar moeten zijn. Want zoals het gezegde luidt: meten is weten.', 'Gezamenlijk moeten wij streven naar de eliminatie van alle vormen van seksueel geweld tegen kinderen. De Verenigde Naties concretiseerden deze wereldwijde ambitie vorig jaar in twee van de zeventien Sustainable Development Goals. Doel vijf (gendergelijkheid van vrouwen en meisjes) en Doel zestien (een vreedzame, inclusieve samenleving) vragen om het beëindigen van alle vormen van geweld –waaronder dus seksueel geweld- tegen respectievelijk vrouwen en meisjes, en tegen kinderen. Deze duurzame ontwikkelingsdoelen zullen tot 2030 wereldwijd nagestreefd worden.', 'Maar de Verenigde Naties stoppen niet bij het voor alle landen stellen van mooie doelen. Om te weten of de doelen bereikt worden, maken zij deze ook meetbaar door middel van indicatoren. De Verenigde Naties bewaken met behulp van deze indicatoren dat landen de doelen die zij zichzelf opgelegd hebben ook bereiken. Zo ziet elk land of het goed op weg is, en waar het nog aan moet trekken. Er is dus een wereldwijde instemming dat de aanpak van seksueel geweld tegen kinderen gemeten moet worden.', 'Ook Nederland doet uiteraard zijn best het aantal slachtoffers, en hun leed, te verminderen. In het afgelopen jaar gebeurde dan ook het nodige: Politie en Openbaar Ministerie wijzigden hun werkwijze opdat aangifte doen van zedendelicten laagdrempeliger wordt. Slachtoffers heten daarbij voortaan slachtoffers en niet aangevers. De regering besloot Veilig Thuis steviger en laagdrempeliger te maken zodat meer mishandelde kinderen op de radar komen. Het aantal Centra voor Seksueel Geweld, waar slachtoffers zorg en politie onder één dak kunnen vinden, groeide van acht naar dertien. Nederland kijkt ook over de grens: ons land is de belangrijkste financier van een internationaal onderzoek naar kindersekstoerisme, om misbruik van kinderen niet alleen in Nederland maar ook in de rest van de wereld tegen te gaan.', 'Niet alleen de overheid richt zich op seksueel geweld tegen kinderen. Ik sprak dit najaar met Stevie Bos, de zeventienjarige winnares van Pimp de Troonrede. Haar alternatieve Troonrede vroeg om meer aandacht voor de omgang met slachtoffers van seksueel geweld in politieopleidingen. Ik ben onder de indruk dat een kind hiervoor aandacht vraagt. Het laat zien dat ook de Nederlandse samenleving meedenkt over dit probleem.', 'Stuk voor stuk zijn dit mooie stappen. Ik hoop en verwacht dat deze het leed van kinderen zullen verminderen. Maar we moeten niet tevreden zijn met hopen en verwachten, we moeten willen weten dat wat we doen helpt.', 'Dat lukt in Nederland nu op veel fronten nog niet. Er zijn 71 erkende interventies van jeugdhulpinstanties voor hulp aan slachtoffers van seksueel misbruik. Slechts twee hiervan zijn echter ‘bewezen effectief’. De rest is ‘goed onderbouwd’: men verwacht dat het werkt, maar weet het niet. Hetzelfde geldt voor de twee erkende interventies voor het terugdringen van recidive van (jonge) zedendelinquenten. Sinds de decentralisatie van de jeugdhulp naar de gemeenten is onmogelijk te achterhalen hoeveel slachtoffers van kindermishandeling en seksueel misbruik hulp krijgen en in welke vorm. Over eerdergenoemde ontwikkeldoelen concludeert het Centraal Bureau van de Statistiek (CBS) dat voor het meten van de indicator voor kindermishandeling ‘cijfers nog niet voorhanden zijn’. Hetzelfde CBS concludeert dat uit de cijfers van Veilig Thuis geen landelijk beeld te maken valt vanwege alle inconsistenties erin. Hoe weten we dan of onze aanpak daadwerkelijk doet wat hij moet?', 'Ik weet dat Nederland, net als de Verenigde Naties, zoveel mogelijk slachtoffers van seksueel geweld wil helpen, of beter nog voorkomen. Maar als wij onze resultaten niet meten, kunnen wij ook niet weten of dat lukt. Het is cruciaal dat we niet alleen doen, maar ook onderzoeken wat we doen. Zodat daadwerkelijk minder kinderen slachtoffer worden van seksueel geweld, en zodat de kinderen die dat onverhoopt toch worden zo min mogelijk te lijden hebben. Alleen als we meten, weten we dat we op de goede weg zijn en dat de kinderen die wij willen helpen ook echt geholpen zijn.', '']	['Statement Nationaal Rapporteur - Week tegen kindermishandeling\nPdf document | 263 kB\nToespraak | 9-3-2017']	['Statement%20Nationaal%20Rapporteur%20-%20Week%20tegen%20kindermishandeling_tcm23-214338.pdf']	['Statement%20Nationaal%20Rapporteur%20-%20Week%20tegen%20kindermishandeling_tcm23-214338.txt']
Statement van de Nationaal Rapporteur ter gelegenheid van de Week tegen Kindermishandeling	Nieuwsbericht | 14-11-2016 | 09:00	['Resultaten van onze aanpak van seksueel geweld tegen kinderen moeten meetbaar zijn, betoogt Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen in haar jaarlijkse statement aan het begin van de Week tegen Kindermishandeling. De week eindigt op 20 november, de internationale dag van het kind.']	['Vandaag start de Week tegen Kindermishandeling. Het doel: de samenleving meer bewust te maken van kindermishandeling. Als Nationaal Rapporteur vraag ik vooral uw aandacht voor seksueel geweld tegen kinderen. Maar ik wil er niet alleen aandacht voor. Ik wil weten dat we als samenleving kinderen die hier slachtoffer van worden ook echt helpen. Daarom vind ik dat de resultaten van onze aanpak meetbaar moeten zijn. Want zoals het gezegde luidt: meten is weten.', 'Gezamenlijk moeten wij streven naar de eliminatie van alle vormen van seksueel geweld tegen kinderen. De Verenigde Naties concretiseerden deze wereldwijde ambitie vorig jaar in twee van de zeventien Sustainable Development Goals. Doel vijf (gendergelijkheid van vrouwen en meisjes) en Doel zestien (een vreedzame, inclusieve samenleving) vragen om het beëindigen van alle vormen van geweld –waaronder dus seksueel geweld- tegen respectievelijk vrouwen en meisjes, en tegen kinderen. Deze duurzame ontwikkelingsdoelen zullen tot 2030 wereldwijd nagestreefd worden.', 'Maar de Verenigde Naties stoppen niet bij het voor alle landen stellen van mooie doelen. Om te weten of de doelen bereikt worden, maken zij deze ook meetbaar door middel van indicatoren. De Verenigde Naties bewaken met behulp van deze indicatoren dat landen de doelen die zij zichzelf opgelegd hebben ook bereiken. Zo ziet elk land of het goed op weg is, en waar het nog aan moet trekken. Er is dus een wereldwijde instemming dat de aanpak van seksueel geweld tegen kinderen gemeten moet worden.', 'Ook Nederland doet uiteraard zijn best het aantal slachtoffers, en hun leed, te verminderen. In het afgelopen jaar gebeurde dan ook het nodige: Politie en Openbaar Ministerie wijzigden hun werkwijze opdat aangifte doen van zedendelicten laagdrempeliger wordt. Slachtoffers heten daarbij voortaan slachtoffers en niet aangevers. De regering besloot Veilig Thuis steviger en laagdrempeliger te maken zodat meer mishandelde kinderen op de radar komen. Het aantal Centra voor Seksueel Geweld, waar slachtoffers zorg en politie onder één dak kunnen vinden, groeide van acht naar dertien. Nederland kijkt ook over de grens: ons land is de belangrijkste financier van een internationaal onderzoek naar kindersekstoerisme, om misbruik van kinderen niet alleen in Nederland maar ook in de rest van de wereld tegen te gaan.', 'Niet alleen de overheid richt zich op seksueel geweld tegen kinderen. Ik sprak dit najaar met Stevie Bos, de zeventienjarige winnares van Pimp de Troonrede. Haar alternatieve Troonrede vroeg om meer aandacht voor de omgang met slachtoffers van seksueel geweld in politieopleidingen. Ik ben onder de indruk dat een kind hiervoor aandacht vraagt. Het laat zien dat ook de Nederlandse samenleving meedenkt over dit probleem.', 'Stuk voor stuk zijn dit mooie stappen. Ik hoop en verwacht dat deze het leed van kinderen zullen verminderen. Maar we moeten niet tevreden zijn met hopen en verwachten, we moeten willen weten dat wat we doen helpt.', 'Dat lukt in Nederland nu op veel fronten nog niet. Er zijn 71 erkende interventies van jeugdhulpinstanties voor hulp aan slachtoffers van seksueel misbruik. Slechts twee hiervan zijn echter ‘bewezen effectief’. De rest is ‘goed onderbouwd’: men verwacht dat het werkt, maar weet het niet. Hetzelfde geldt voor de twee erkende interventies voor het terugdringen van recidive van (jonge) zedendelinquenten. Sinds de decentralisatie van de jeugdhulp naar de gemeenten is onmogelijk te achterhalen hoeveel slachtoffers van kindermishandeling en seksueel misbruik hulp krijgen en in welke vorm. Over eerdergenoemde ontwikkeldoelen concludeert het Centraal Bureau van de Statistiek (CBS) dat voor het meten van de indicator voor kindermishandeling ‘cijfers nog niet voorhanden zijn’. Hetzelfde CBS concludeert dat uit de cijfers van Veilig Thuis geen landelijk beeld te maken valt vanwege alle inconsistenties erin. Hoe weten we dan of onze aanpak daadwerkelijk doet wat hij moet?', 'Ik weet dat Nederland, net als de Verenigde Naties, zoveel mogelijk slachtoffers van seksueel geweld wil helpen, of beter nog voorkomen. Maar als wij onze resultaten niet meten, kunnen wij ook niet weten of dat lukt. Het is cruciaal dat we niet alleen doen, maar ook onderzoeken wat we doen. Zodat daadwerkelijk minder kinderen slachtoffer worden van seksueel geweld, en zodat de kinderen die dat onverhoopt toch worden zo min mogelijk te lijden hebben. Alleen als we meten, weten we dat we op de goede weg zijn en dat de kinderen die wij willen helpen ook echt geholpen zijn.', '']	['Statement Nationaal Rapporteur - Week tegen kindermishandeling\nPdf document | 263 kB\nToespraak | 9-3-2017']	['Statement%20Nationaal%20Rapporteur%20-%20Week%20tegen%20kindermishandeling_tcm23-214338.pdf']	['Statement%20Nationaal%20Rapporteur%20-%20Week%20tegen%20kindermishandeling_tcm23-214338.txt']
Vierde bijeenkomst Santa Marta Group	Nieuwsbericht | 1-11-2016 | 16:02	['Op een door paus Franciscus georganiseerde bijeenkomst heeft de Nationaal Rapporteur benadrukt hoe belangrijk het is dat specifiek aandacht uitgaat naar de kwetsbaarheid van kinderen voor mensenhandel. ‘Erkenning van de autonomie van het kind is belangrijk’, zei Corinne Dettmeijer, ‘maar hun kwetsbaarheid moet niet worden vergeten.’']	['']	['Toespraak Nationaal Rapporteur Santa Marta Group-bijeenkomst oktober 2016\nPdf document | 129 kB\nToespraak | 1-11-2016']	['20161026%20Speech%20Rome%20-%20Santa%20Marta%20Group_tcm23-179689.pdf']	['20161026%20Speech%20Rome%20-%20Santa%20Marta%20Group_tcm23-179689.txt']
Nationaal Rapporteur in Jeugdbeleid: Drie aanbevelingen voor betere slachtofferzorg op gemeenteniveau	Nieuwsbericht | 24-10-2016 | 16:50	['Sinds de invoering van de Jeugdwet 2015 zijn Nederlandse gemeenten hoofdverantwoordelijk voor het aanbieden van jeugdhulp. In een recent verschenen artikel in het vaktijdschrift Jeugdbeleid geeft Corinne Dettmeijer-Vermeulen antwoord op de vraag hoe gemeenten de juiste zorg kunnen bieden aan minderjarige slachtoffers van seksueel misbruik en slachtoffers van mensenhandel.']	['In haar artikel stelt de Nationaal Rapporteur op een drietal vlakken veranderingen voor met als doel het huidige zorglandschap zodanig te hervormen dat het in de toekomst beter aansluit bij de unieke zorgbehoefte van deze twee kwetsbare groepen.\nEen gelaagd, gevarieerd en gebalanceerd zorglandschap\nHet belang van het slachtoffer hoort altijd voorop te staan wanneer gekeken wordt naar hoe gemeenten de juiste zorg kunnen bieden. Zorginstanties zouden er dan ook goed aan doen meer met concurrerende instellingen samen te werken om zo de beste specialistische zorg te bieden. Met datzelfde doel voor ogen is het aan gemeenten om bij het inkopen van zorg financiële overwegingen minder zwaar mee te laten wegen dan de bewezen effectiviteit van een behandeling. En soms zullen bestuurders over de gemeentegrenzen heen moeten kijken om samen met andere gemeentes binnen hun regio specialistische zorg in te kopen. De rapporteur ziet hierbij een voortrekkersrol voor de Vereniging van Nederlandse Gemeenten.\nEen decentraal zorglandschap waar landelijke specialismen geborgd zijn\nVeel gemeenten kunnen geen cijfers overleggen over het precieze aantal slachtoffers van seksueel geweld en mensenhandel waarvoor ze verantwoordelijkheid dragen. Ook professionals missen soms de juiste kennis: ‘Onder zorgverleners leeft onvoldoende het besef dat beide groepen baat hebben bij een behandelplan dat nauwkeurig op de ervaringen en unieke traumasymptomen van deze slachtoffers is afgestemd’, aldus de rapporteur.\nDe Nationaal Rapporteur roept alle 390 gemeenten daarom op om zich te verenigen in een decentraal stelsel met landelijk specialismen voor alle slachtoffers van binnenlandse mensenhandel. Binnen het voorgestelde specialisme krijgen gemeenten de mogelijkheid om de meest kwetsbare slachtoffers door te verwijzen naar een centrale locatie waar zij de beste specialistische zorg ontvangen. In het voorstel van Dettmeijer worden de kosten van het initiatief op een eerlijke manier gespreid dankzij financiële ondersteuning door alle gemeenten.\nEen zorglandschap waar de poortwachters voldoende kennis hebben\nEen dergelijk landelijk specialisme kan alleen een succes worden wanneer hulpverleners binnen de gemeenten de juiste kennis hebben om slachtoffers van kindermisbruik en mensenhandel te herkennen en op een adequate manier door te verwijzen. Dit kan onder meer worden bereikt door het inzetten van erkende GGZ-specialisten in lokale wijkteams, waardoor de kans dat een getraumatiseerd slachtoffer wordt opgemerkt aanzienlijk stijgt. Tenslotte liggen er ook kansen op het gebied van psychische jeugdhulpverlening. Is een kind eenmaal aangemerkt als slachtoffer, dan zou het (vooralsnog) ontbreken van een officieel predicaat ‘stoornis’ geen reden moeten zijn om te wachten met psychische hulpverlening. Het belang van het slachtoffer komt, zoals altijd, eerst.\nHet volledige artikel in Jeugdbeleid is hier te lezen']	[]	[]	[]
The Prominent Role of Judges in Interpreting the International Definition of Human Trafficking	Nieuwsbericht | 20-10-2016 | 15:34	['Tijdens de presentatie van de zesde editie van Anti-Trafficking Review in Wenen, op 20 oktober 2016, presenteerde Corinne Dettmeijer-Vermeulen een artikel dat zij samen met medewerker Luuk Esser schreef over de belangrijke rol die nationale rechters toekomt bij de interpretatie van de internationale mensenhandeldefinitie. Hoewel in de academische literatuur over mensenhandel veel aandacht uitgaat naar de internationale definitie van mensenhandel, en daarop kritiek wordt geuit, wordt volgens de auteurs te weinig gekeken naar de rol die nationale rechters hebben bij de verdere interpretatie van het delict.']	['Toespraak Nationaal Rapporteur', 'Publicatie in Anti-Trafficking Review']	['The Prominent Role of Judges in Interpreting the International Definition of Human Trafficking\nPdf document | 246 kB\nToespraak | 20-10-2016', 'The Prominent Role of National Judges in Interpreting the International Definition of Human Trafficking\nPdf document | 215 kB\nPublicatie | 6-7-2016']	['GAATW%20-%20Side%20event%20Presentation%20article%20Judges%20and%20Human%20Trafficking%20definition_def_tcm23-138994.pdf', 'The%20prominent%20role%20of%20national%20judges%20_tcm23-58279_tcm23-75624.pdf']	['GAATW%20-%20Side%20event%20Presentation%20article%20Judges%20and%20Human%20Trafficking%20definition_def_tcm23-138994.txt', 'The%20prominent%20role%20of%20national%20judges%20_tcm23-58279_tcm23-75624.txt']
